code,name,market,close,chg,amount_eok,cap_eok,turnover_pct
005930,삼성전자,KOSPI,139000.0,0.14,40691.8469485,8228296.71158,0.49
000660,SK하이닉스,KOSPI,744000.0,-1.59,32250.29514448,5416337.5956,0.6
272210,한화시스템,KOSPI,76900.0,27.53,15246.517726,145279.010141,10.49
005380,현대차,KOSPI,366000.0,7.49,11029.2280425,749413.42356,1.47
122630,KODEX 레버리지,ETF,57975.0,1.71,9278.33702151,42785.55,21.69
069500,KODEX 200,ETF,67180.0,0.84,9248.91168069,123140.94,7.51
012450,한화에어로스페이스,KOSPI,1214000.0,11.38,6782.26931608,625979.68814,1.08
252670,KODEX 200선물인버스2X,ETF,502.0,-1.95,6759.19273167,13337.136,50.68
307950,현대오토에버,KOSPI,471500.0,19.37,6574.8573325,129304.07513,5.08
042660,한화오션,KOSPI,134400.0,3.62,6260.086118,411819.601536,1.52
010140,삼성중공업,KOSPI,28650.0,8.73,4930.7704655,252120.0,1.96
010130,고려아연,KOSPI,1142000.0,-5.07,4861.937005,238369.30598,2.04
042700,한미반도체,KOSPI,176300.0,-5.06,4631.6560205,168035.4086,2.76
034020,두산에너빌리티,KOSPI,84200.0,0.6,4339.2638705,539352.484932,0.8
396500,TIGER 반도체TOP10,ETF,23310.0,-1.52,4120.71986945,32307.66,12.75
196170,알테오젠,KOSDAQ,511000.0,6.79,3880.4722475,273414.57668,1.42
476830,알지노믹스,KOSDAQ,193900.0,22.88,3692.1063715,26982.817638,13.68
005935,삼성전자우,KOSPI,103000.0,1.08,3473.550324,840453.90392,0.41
459580,KODEX CD금리액티브(합성),ETF,1074465.0,0.01,3309.50057777,88693.862355,3.73
047810,한국항공우주,KOSPI,149800.0,4.9,3243.030373,146017.710286,2.22
064350,현대로템,KOSPI,219000.0,3.79,2533.16232,239021.62167,1.06
012200,계양전기,KOSPI,12340.0,12.39,2526.30770005,3359.2970986,75.2
449450,PLUS K방산,ETF,64780.0,7.23,2496.36368282,14283.99,17.48
091160,KODEX 반도체,ETF,69305.0,-1.22,2407.15301362,20444.975,11.77
035420,NAVER,KOSPI,254000.0,1.2,2333.5353675,398405.70052,0.59
101170,우림피티에스,KOSDAQ,18470.0,18.47,2330.5903679,2493.45,93.47
233740,KODEX 코스닥150레버리지,ETF,12115.0,0.17,2307.38640837,19456.69,11.86
000270,기아,KOSPI,133200.0,6.65,2255.5928675,520030.113336,0.43
114800,KODEX 인버스,ETF,2200.0,-0.9,2075.72857382,7838.6,26.48
012330,현대모비스,KOSPI,399500.0,2.17,2040.78696017,362476.669085,0.56
234030,싸이닉솔루션,KOSDAQ,11480.0,16.43,2000.097555,2709.854,73.81
298380,에이비엘바이오,KOSDAQ,204500.0,-5.1,1875.8804575,112730.962425,1.66
009540,HD한국조선해양,KOSPI,447000.0,5.3,1875.405805,316355.82852,0.59
329180,HD현대중공업,KOSPI,609000.0,4.64,1862.588615,639213.86025,0.29
360750,TIGER 미국S&P500,ETF,25080.0,0.91,1820.94519437,135243.9,1.35
402340,SK스퀘어,KOSPI,430500.0,0.0,1802.118885,568635.030075,0.32
102110,TIGER 200,ETF,67240.0,0.84,1778.70251281,50430.0,3.53
379800,KODEX 미국S&P500,ETF,22975.0,0.9,1753.37662363,74553.875,2.35
466920,SOL 조선TOP3플러스,ETF,37585.0,5.22,1719.52151276,21686.545,7.93
009150,삼성전기,KOSPI,266000.0,-2.21,1696.9247975,198685.23136,0.85
017960,한국카본,KOSPI,38400.0,22.29,1688.23159475,19932.845568,8.47
068270,셀트리온,KOSPI,217000.0,1.88,1660.345765,501185.30273,0.33
347850,디앤디파마텍,KOSDAQ,103100.0,-5.15,1638.8098385,44885.02833,3.65
319400,현대무벡스,KOSDAQ,23500.0,4.68,1564.446593,26173.369165,5.98
010170,대한광통신,KOSDAQ,3330.0,13.07,1522.44373879,4395.122478,34.64
395160,KODEX AI반도체,ETF,19845.0,-1.51,1484.26688571,14010.57,10.59
229200,KODEX 코스닥150,ETF,15915.0,0.13,1425.30673339,16416.3225,8.68
278470,에이피알,KOSPI,228500.0,5.3,1425.12698,85529.046675,1.67
