구분,순위,code,name,close,chg_pct,amount_eok,volume,cap_eok
거래대금,1,000660,SK하이닉스,1674000.0,1.27,65175.6,3980661,12228442.2
거래대금,2,005930,삼성전자,260000.0,1.17,46470.4,18270969,15200324.4
거래대금,3,009150,삼성전기,1458000.0,2.6,12708.1,890759,1089034.1
거래대금,4,011070,LG이노텍,642000.0,5.07,10059.5,1576110,151942.8
거래대금,5,005935,삼성전자우,186500.0,-0.16,6706.5,3633519,1496422.3
거래대금,6,402340,SK스퀘어,1037000.0,0.88,6624.8,646713,1368051.9
거래대금,7,105560,KB금융,173300.0,0.99,5246.6,3030441,614673.8
거래대금,8,028300,HLB,35600.0,-1.11,5208.7,14616441,47418.6
거래대금,9,006400,삼성SDI,577000.0,1.05,4765.7,826685,464978.5
거래대금,10,034220,LG디스플레이,9440.0,-1.87,4220.8,44647212,47200.0
거래대금,11,001210,금호전기,12480.0,16.85,3414.5,27492764,1544.5
거래대금,12,002990,금호건설,16460.0,-3.29,3195.5,18423582,6133.0
거래대금,13,0126Z0,삼성에피스홀딩스,387000.0,3.61,3036.7,785959,96297.4
거래대금,14,047050,포스코인터내셔널,53700.0,1.9,2944.5,5489357,94470.5
거래대금,15,066570,LG전자,216500.0,7.44,2937.3,1397090,352645.2
거래대금,16,034020,두산에너빌리티,82500.0,-6.46,2912.9,3507575,528462.9
거래대금,17,005380,현대차,403500.0,1.0,2506.4,626542,826197.6
거래대금,18,096770,SK이노베이션,125500.0,7.36,2385.8,1924132,212161.2
거래대금,19,012330,현대모비스,453500.0,0.67,2219.5,490499,407336.4
거래대금,20,017670,SK텔레콤,94200.0,-4.46,2116.4,2269430,202332.2
거래대금,21,055550,신한지주,108900.0,-0.73,2008.5,1838687,511231.3
거래대금,22,012450,한화에어로스페이스,1102000.0,-4.75,2002.0,178097,568228.7
거래대금,23,196170,알테오젠,307500.0,-3.91,1977.7,656406,214189.5
거래대금,24,086790,하나금융지주,136300.0,0.22,1820.5,1336302,373963.2
거래대금,25,298040,효성중공업,2963000.0,-6.03,1726.1,58248,276286.4
