구분,순위,code,name,close,chg_pct,amount_eok,volume,cap_eok,공시
거래대금,1,000660,SK하이닉스,1596000.0,-1.05,42444.6,2632758,11658658.1,
거래대금,2,005930,삼성전자,250000.0,-0.2,34529.8,13756022,14615696.5,
거래대금,3,047050,포스코인터내셔널,55500.0,4.32,20548.1,37090860,97637.1,
거래대금,4,009150,삼성전기,1348000.0,-3.71,8454.7,615807,1006871.0,
거래대금,5,316140,우리금융지주,34650.0,0.43,6104.2,18186793,255296.5,
거래대금,6,022100,포스코DX,21400.0,2.39,4867.1,23618219,32535.4,
거래대금,7,402340,SK스퀘어,981000.0,-0.1,3955.7,402164,1294174.4,
거래대금,8,196170,알테오젠,283000.0,-5.19,3637.1,1248714,197124.0,
거래대금,9,005935,삼성전자우,184100.0,-0.75,3537.8,1914009,1477165.4,
거래대금,10,105560,KB금융,177900.0,5.2,2705.1,1523951,630989.5,
거래대금,11,067290,JW신약,3430.0,10.65,2592.8,74679078,1922.1,
거래대금,12,034020,두산에너빌리티,79200.0,3.39,2538.8,3211239,507324.4,
거래대금,13,006400,삼성SDI,539000.0,0.19,2377.5,437603,434356.0,
거래대금,14,005380,현대차,383500.0,1.46,1780.2,465891,785246.0,
거래대금,15,055550,신한지주,114500.0,3.62,1703.3,1489724,537520.5,
거래대금,16,079650,서산,7570.0,11.49,1681.0,22372602,1514.0,
거래대금,17,000810,삼성화재,702000.0,6.85,1646.5,238820,313425.3,
거래대금,18,373220,LG에너지솔루션,365500.0,5.18,1549.5,426976,855270.0,
거래대금,19,278470,에이피알,406000.0,-3.1,1528.8,381281,151998.9,
거래대금,20,010140,삼성중공업,21650.0,8.58,1516.2,7128820,190520.0,
거래대금,21,329180,HD현대중공업,435000.0,3.08,1495.4,346779,456581.3,
거래대금,22,012330,현대모비스,423500.0,1.93,1494.6,354549,380390.2,
거래대금,23,267260,HD현대일렉트릭,706000.0,-0.7,1476.7,209571,254492.8,
거래대금,24,035720,카카오,35350.0,0.71,1425.7,4093076,156593.8,
거래대금,25,088350,한화생명,6110.0,5.89,1403.3,22461163,53067.2,
거래대금,26,004310,현대약품,7680.0,1.45,1376.8,16564195,2457.6,
거래대금,27,096770,SK이노베이션,130800.0,-0.53,1335.1,1012027,221121.0,
거래대금,28,086790,하나금융지주,139500.0,3.41,1318.0,945033,382743.0,
거래대금,29,032940,원익,8580.0,18.84,1267.1,14740230,1561.0,
거래대금,30,047040,대우건설,16750.0,2.89,1254.1,7499801,68827.0,
거래대금,31,036930,주성엔지니어링,168000.0,-3.28,1227.8,719882,78088.3,
거래대금,32,028260,삼성물산,372000.0,-0.27,1166.1,308836,603263.4,
거래대금,33,234690,녹십자웰빙,10750.0,16.47,1148.7,10558437,1931.1,
거래대금,34,017670,SK텔레콤,89000.0,-2.63,1137.9,1277525,191163.1,
거래대금,35,035420,NAVER,207500.0,-0.72,1105.1,532103,315558.7,
거래대금,36,005490,POSCO홀딩스,342000.0,3.64,1100.9,323391,271006.0,
거래대금,37,010060,OCI홀딩스,227500.0,-5.6,1096.3,477229,42474.8,
거래대금,38,000720,현대건설,119500.0,6.13,1095.4,929172,133070.1,
거래대금,39,032830,삼성생명,303000.0,3.06,1092.5,360074,606000.0,
거래대금,40,100090,SK오션플랜트,12900.0,7.5,1072.7,7896393,8059.7,
상승률,1,162300,신스틸,2105.0,29.86,113.7,5459238,873.0,
상승률,2,459550,알트,2570.0,29.86,318.4,13640212,648.2,
상승률,3,032940,원익,8580.0,18.84,1267.1,14740230,1561.0,
상승률,4,441270,파인엠텍,9220.0,18.81,641.1,7024688,3891.3,
상승률,5,053260,금강철강,6390.0,17.68,490.0,7391661,1196.2,
상승률,6,234690,녹십자웰빙,10750.0,16.47,1148.7,10558437,1931.1,
상승률,7,095700,제넥신,3260.0,15.81,110.7,3331659,1484.6,
