code,name,close,chg,amount_eok,cap_eok,mom_12_1,m1,m3,from_hi52,new_high,box_width,box_drift,over_box,trend,breakout
138930,BNK금융지주,15200.0,1.38,135.3,47284.0,3.0,1.6,-11.2,-32.9,,26.9,-18.7,-19.1,,
001040,CJ,129900.0,2.85,169.6,38980.5,-32.1,4.4,-21.1,-44.0,,80.8,-44.7,-42.1,,
005830,DB손해보험,181100.0,6.35,536.3,126153.7,9.6,17.1,28.3,-11.9,,31.6,-2.3,4.7,,
000990,DB하이텍,95000.0,-0.63,187.9,41068.3,31.4,26.8,-51.1,-56.9,,209.7,-56.0,-56.9,,
375500,DL이앤씨,72000.0,-0.69,194.2,27665.9,26.6,37.4,-5.9,-29.8,,91.4,-40.7,-28.2,,
078930,GS,127100.0,-1.89,457.9,115840.7,81.6,51.1,71.5,-1.6,,52.5,6.9,33.4,,
006360,GS건설,36300.0,-8.26,780.6,28498.6,20.2,63.5,26.0,-15.8,,77.3,-38.1,-7.8,,
267270,HD건설기계,133300.0,-2.78,155.1,62106.8,27.1,12.7,-14.1,-32.7,,74.8,-40.2,-30.8,,
009540,HD한국조선해양,348500.0,1.43,362.9,250183.0,-16.2,4.0,-16.0,-27.3,,45.0,-21.5,-26.5,,
267250,HD현대,219000.0,0.0,204.5,172994.9,22.1,16.7,-20.5,-29.5,,61.2,-35.9,-27.6,,
443060,HD현대마린솔루션,207500.0,-2.17,114.9,91011.9,-11.6,14.5,-8.2,-26.0,,49.1,-32.9,-23.0,,
322000,HD현대에너지솔루션,142300.0,-5.9,254.2,14996.8,113.3,43.0,-20.7,-41.7,,145.2,-54.3,-41.7,,
267260,HD현대일렉트릭,781000.0,-1.54,1007.9,277202.5,1.4,33.3,-25.4,-45.0,,143.6,-55.1,-45.0,,
329180,HD현대중공업,449500.0,0.78,634.4,475474.3,-11.7,3.6,-36.2,-39.7,,71.7,-34.1,-39.7,,
204320,HL만도,51800.0,-2.9,115.7,23619.4,15.7,32.5,-16.0,-32.6,,96.7,-31.5,-32.6,,
011200,HMM,21450.0,-0.47,223.3,201381.3,-1.7,5.9,9.4,-12.4,,21.0,-2.4,-3.2,,
105560,KB금융,173300.0,-1.21,3334.6,607225.4,38.4,8.2,15.8,-6.9,,24.7,6.1,-6.9,Y,
002380,KCC,474000.0,4.11,128.1,42405.9,-1.8,34.5,-13.8,-30.3,,76.7,-38.1,-23.9,,
033780,KT&G,178100.0,-1.8,200.6,181564.5,34.1,-2.5,-3.0,-5.8,,13.1,3.5,-5.8,,
003550,LG,119400.0,0.75,270.3,181884.0,27.2,29.5,3.1,-28.0,,79.8,-5.8,-28.0,,
034220,LG디스플레이,9440.0,-1.69,508.1,46400.0,-41.4,10.2,-34.5,-43.4,,95.4,-30.6,-43.4,,
051900,LG생활건강,313000.0,-2.24,260.7,45825.1,-7.9,19.0,26.2,-6.1,,35.8,4.5,7.2,,
064400,LG씨엔에스,77200.0,-1.81,347.1,73439.5,-10.4,30.2,-11.9,-46.3,,146.9,-11.7,-46.3,,
373220,LG에너지솔루션,378000.0,-2.91,1242.6,858780.0,-14.5,25.8,-14.5,-26.5,,60.7,-32.2,-21.7,,
011070,LG이노텍,642000.0,-8.1,2339.7,139635.9,140.3,40.2,-43.4,-58.0,,260.8,-28.7,-58.0,,
066570,LG전자,216500.0,-4.62,1479.7,336356.8,96.2,43.9,-4.0,-44.8,,174.1,3.4,-44.8,,
051910,LG화학,280000.0,0.71,649.1,199070.4,-17.0,20.4,-18.7,-34.8,,84.7,-42.8,-34.8,,
079550,LIG디펜스앤에어로스페이스,694000.0,-1.3,561.5,150700.0,22.3,11.9,-18.9,-32.0,,61.6,-34.8,-30.7,,
006260,LS,311500.0,-0.48,210.6,96720.0,50.0,27.9,-34.5,-43.7,,147.4,-56.1,-43.7,,
010120,LS ELECTRIC,207500.0,-1.45,752.4,306750.0,-42.8,26.7,-15.8,-76.6,,111.9,-48.9,-34.9,,
035420,NAVER,217000.0,-0.92,824.1,326964.5,-26.6,7.7,5.9,-24.4,,53.1,-6.8,-22.6,,
010060,OCI홀딩스,277500.0,-5.05,521.8,49196.1,91.1,63.1,-23.8,-28.5,,128.1,-50.7,-28.5,,
005490,POSCO홀딩스,338500.0,0.74,1046.5,270213.6,3.6,17.3,-19.4,-36.7,,85.4,-40.1,-36.7,,
010950,S-Oil,150100.0,1.07,649.2,170788.1,95.1,18.8,40.3,-2.3,,62.2,1.6,-0.7,Y,
005090,SGC에너지,55500.0,-6.31,182.0,7492.9,66.2,45.9,11.9,-19.1,,71.0,-40.2,-10.2,,
034730,SK,545000.0,7.52,952.6,424865.8,134.5,11.5,-17.9,-36.5,,83.1,-1.5,-36.5,,
326030,SK바이오팜,87300.0,1.95,139.0,69698.8,-25.2,15.5,-6.6,-38.0,,37.5,-21.9,-14.9,,
402340,SK스퀘어,1037000.0,2.89,4824.3,1407629.1,331.3,22.0,-16.2,-47.4,,146.6,-19.4,-47.4,,
100090,SK오션플랜트,13800.0,-9.78,314.1,7778.5,-51.4,17.9,-20.0,-54.5,,100.9,-50.0,-41.3,,
096770,SK이노베이션,125500.0,7.81,3190.6,228728.4,7.8,14.6,7.3,-16.2,,63.9,-20.0,-14.5,,
475150,SK이터닉스,55000.0,-5.82,558.4,17646.7,96.6,26.6,36.5,-32.0,,151.6,-24.3,-32.0,,
017670,SK텔레콤,94200.0,0.42,703.3,203191.4,44.2,19.8,-2.8,-24.8,,60.1,-19.7,-24.8,,
000660,SK하이닉스,1674000.0,1.14,46064.2,12367235.7,301.4,19.5,-26.9,-42.7,,120.8,-8.6,-42.7,,
100840,SNT에너지,30550.0,7.36,125.1,6783.3,-59.1,40.1,-22.9,-52.3,,194.0,-62.0,-52.3,,
000500,가온전선,210000.0,-0.71,232.8,62086.3,111.8,71.6,-38.4,-62.8,,424.2,-50.4,-62.8,,
010130,고려아연,1277000.0,-2.04,272.9,261120.8,0.7,38.4,-6.4,-39.6,,89.3,-43.2,-26.9,,
002990,금호건설,16460.0,0.24,1059.5,6147.9,99.5,125.5,305.9,-4.9,,378.2,71.6,-4.9,,
011780,금호석유화학,127500.0,2.04,143.6,32729.7,6.2,15.9,-6.1,-16.9,,37.1,-21.7,-15.5,,
001210,금호전기,12480.0,4.73,2208.0,1617.5,19.8,1129.6,1401.8,0.0,Y,188.8,-5.9,798.5,,
073240,금호타이어,7360.0,1.22,379.8,21400.9,17.6,31.4,54.9,-9.6,,81.2,7.2,-5.6,,
000270,기아,131000.0,0.15,1067.1,512221.9,19.6,8.8,-20.3,-36.4,,49.1,-21.6,-27.0,,
024110,기업은행,20700.0,0.97,189.9,166662.0,3.6,2.5,1.2,-27.5,,17.5,-7.5,-10.4,,
013700,까뮤이앤씨,1544.0,9.65,156.7,1011.6,20.1,14.5,20.5,-16.5,,30.4,0.6,6.9,Y,
483650,달바글로벌,220000.0,-5.68,342.9,25991.3,61.6,-17.0,8.9,-17.0,,44.0,4.5,-17.0,Y,
353200,대덕전자,112700.0,-1.06,608.6,55099.9,195.3,39.3,-31.6,-41.0,,156.2,-34.9,-41.0,,
047040,대우건설,18190.0,-7.53,1076.5,69114.7,233.9,51.3,-28.5,-51.0,,196.4,-65.2,-45.2,,
006340,대원전선,13620.0,-2.5,169.7,10413.4,279.7,23.3,10.2,-24.5,,99.6,-40.5,-24.5,Y,
001440,대한전선,29400.0,-2.55,247.2,56151.9,47.2,32.4,-38.5,-59.3,,247.6,-65.7,-59.3,,
003490,대한항공,28100.0,2.31,647.0,105863.4,6.9,13.3,4.1,-6.3,,26.1,0.6,-6.3,,
000150,두산,1263000.0,-4.51,457.6,195297.7,87.8,26.4,-23.9,-42.7,,144.8,-47.2,-42.7,,
454910,두산로보틱스,71000.0,-2.82,190.4,44725.8,-13.8,23.5,-29.3,-57.4,,200.9,-48.6,-57.4,,
